order,assetId,displayName,family,wave,priority,renderProfile,generationLane,footprint,animationProfile,eraProfile,variantProfile,status,cleanupTier,tags,visualBrief
11,temple_of_hermes,Temple of Hermes,building,precinct_expansion,p2,building_iso_large,imagegen+meshy+pixel,3x3,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","compact temple with traveler offerings, winged motifs, and courier niches"
12,tholos,Tholos,building,precinct_expansion,p2,building_iso_large,imagegen+meshy+pixel,3x3,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","circular marble sanctuary with concentric steps, bronze roof accents, and mysterious inner glow"
13,treasury_vault,Treasury Vault,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle",city-state sponsored treasury facade with heavy bronze doors and inscribed dedicatory plaques
14,priest_quarters,Priest Quarters,building,core_slice,p0,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle",cluster of whitewashed living quarters around a shared courtyard and shrine
15,gymnasium,Gymnasium,building,precinct_expansion,p2,building_iso_large,imagegen+meshy+pixel,3x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","training court with colonnade, sand floor, exercise equipment, and shaded edge rooms"
16,scriptorium,Scriptorium,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","quiet scholarly hall with writing desks, skylight, scroll racks, and tiled floor"
17,animal_pen,Animal Pen,building,precinct_expansion,p0,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","fenced enclosure with feeding troughs, shade awning, and stone gate for sacrificial stock"
18,granary,Granary,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","elevated grain store with heavy bins, weathered wood doors, and dry-stone base"
19,grain_field,Grain Field,building,precinct_expansion,p1,building_iso_large,blender+pixel,3x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","terraced grain plots with low retaining walls, sheaves, irrigation channels, and harvest markers"
20,kitchen,Kitchen,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","working kitchen with ovens, bread tables, smoke vents, and service counters"
21,olive_grove,Olive Grove,building,precinct_expansion,p1,building_iso_large,blender+pixel,3x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","sacred olive terrace with gnarled trees, collection jars, and dry-stone orchard edges"
22,olive_press,Olive Press,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","mechanical press house with stone press wheel, oil jars, and rustic roof"
23,incense_store,Incense Store,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","cool sealed storeroom with incense chests, hanging censers, and guarded doors"
24,incense_workshop,Incense Workshop,building,precinct_expansion,p1,building_iso_large,blender+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","compact blending workshop with resin jars, sheltered mixing table, and perfumed braziers"
25,papyrus_reed_bed,Papyrus Reed Bed,building,precinct_expansion,p1,building_iso_large,blender+pixel,3x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","irrigated reed basin with papyrus clusters, cut-stalk bundles, and wet stone channels"
26,storehouse,Storehouse,building,core_slice,p0,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","broad utility storehouse with amphora stacks, crate bays, and shaded loading awning"
27,xenon,Xenon Pilgrim Inn,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,3x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","pilgrim inn with courtyard rooms, shaded arcade, and welcoming entrance banners"
28,agora_market,Agora Market,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,3x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","market plaza with striped stalls, votive vendors, and public gathering space"
29,theater,Theater,building,precinct_expansion,p2,building_iso_large,imagegen+meshy+pixel,3x3,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle",small hillside theater with semicircular seating and a sacred performance stage
30,bath_house,Bath House,building,precinct_expansion,p2,building_iso_large,imagegen+meshy+pixel,3x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","pilgrim bath complex with steam rooms, tiled basins, and bronze fixtures"
31,votive_offering_rack,Votive Offering Rack,building,precinct_expansion,p1,building_iso_large,imagegen+meshy+pixel,1x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","dense arrangement of hanging tablets, ribbons, figurines, and donation hooks"
32,courier_station,Courier Station,building,world_ui,p2,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","Hermes-linked dispatch post with messenger benches, map table, and fast-horse tack"
33,shadow_office,Shadow Office,building,world_ui,p2,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle",discreet intelligence office tucked behind the precinct with coded shelves and hidden alcoves
34,library,Sacred Library,building,world_ui,p2,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","quiet archive library with tall shelves, ladders, scroll tubes, and bronze reading lamps"
35,quarry,Marble Quarry,building,terrain_and_props,p2,building_iso_large,imagegen+meshy+pixel,landmark,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","terraced quarry cut into the hillside with blocks, cranes, and chisel stations"
36,stonemason,Stonemason Yard,building,terrain_and_props,p2,building_iso_large,imagegen+meshy+pixel,3x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","open yard with marble blocks, chiseling tables, templates, and masonry sheds"
37,excavation_trench,Excavation Trench,building,late_game,p2,building_iso_large,imagegen+meshy+pixel,landmark,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","ritual excavation cut exposing buried walls, ladders, and sacred debris"
38,relic_vault,Relic Vault,building,late_game,p2,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle","secure underground shrine vault with relic plinths, heavy doors, and sacred lamplight"
39,buried_chamber,Buried Chamber,building,late_game,p2,building_iso_large,imagegen+meshy+pixel,2x2,ambient_fx_only,"archaic,classical,hellenistic,romanized","base,damaged,upgraded",planned,manual_cleanup_required,"precinct,building,oracle",ancient hidden chamber under the precinct with collapsed masonry and mythic iconography
40,amphora_stack,Amphora Stack,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",clustered oil and wine amphorae tied for storage beside a wall
41,grain_sacks,Grain Sack Pile,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",bundled grain sacks stacked beside storage bins and scoops
42,oil_jars,Oil Jar Set,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",sealed ceramic jars with bronze-stoppered lids for ritual oil
43,incense_censer,Incense Censer,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",ornate hanging censer with filigree vents and incense ash tray
44,offering_bowl,Offering Bowl,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",polished bronze offering bowl with ribbons and coin offerings
45,laurel_wreath_set,Laurel Wreath Set,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle","bundled laurel wreaths for festivals, rituals, and honored guests"
46,scroll_shelves,Scroll Shelf Set,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",timber and bronze shelving filled with labeled papyrus rolls
47,writing_desk,Writing Desk,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle","scholar desk with ink pots, stylus, wax tablets, and rolled scrolls"
48,market_stall_set,Market Stall Set,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,kit,static,,"food,votive,luxury",planned,manual_cleanup_required,"precinct,prop,oracle","modular market stall pieces with awnings, counters, and hanging goods"
49,votive_statue_small,Small Votive Statue,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",dedicated marble or bronze devotional statue for pilgrims to leave behind
50,votive_statue_large,Large Votive Statue,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",prestige devotional statue on a low plinth with inscription plate
51,bronze_tripod,Bronze Tripod,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",ceremonial tripod cauldron used as prestigious sacred furnishing
52,ritual_basin,Ritual Basin,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",stone basin for washing hands and consecrated implements
53,stone_bench,Stone Bench,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",carved bench for pilgrims or waiting envoys along the processional road
54,scaffold_set,Scaffold Set,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"light,heavy",planned,manual_cleanup_required,"precinct,prop,oracle",construction scaffold pieces for upgrade and repair states
55,repair_tools,Repair Tool Set,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle","custodian tool bundle with mallet, rope, bucket, and chisels"
56,treasury_chest,Treasury Chest,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",heavy coffer with bronze banding and secure ceremonial lock
57,festival_banner_set,Festival Banner Set,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"apollo,athena,hermes,neutral",planned,manual_cleanup_required,"precinct,prop,oracle",fabric banners and streamers for Panhellenic festival decoration
58,torch_post,Torch Post,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",tall torch post with bronze cup and carved stone base
59,marble_column_fragment,Marble Column Fragment,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",broken column drums and carved capitals for ruins or excavation dressing
60,sacred_boundary_marker,Sacred Boundary Marker,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",small carved marker stone denoting holy ground
61,sacrifice_table,Sacrifice Table,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle","sturdy ritual table with channels, knives, bowls, and linen cloth"
62,caravan_cart,Caravan Cart,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle","two-wheeled goods cart with sacks, amphorae, and travel gear"
63,archive_scroll_crate,Archive Scroll Crate,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",crate packed with sealed papyrus rolls and wax labels
64,debate_podium,Debate Podium,prop,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,static,,"base,weathered",planned,manual_cleanup_required,"precinct,prop,oracle",portable speaker platform for philosophers and public disputation
65,limestone_terrace_tiles,Limestone Terrace Tiles,terrain,core_slice,p0,terrain_tile_set,imagegen+pixel,tile_set,static,,set,planned,manual_cleanup_required,"terrain,oracle,environment","dry sun-bleached limestone terrace ground modules only, with subtle wear and no props or water"
66,dry_earth_tiles,Dry Earth Tiles,terrain,core_slice,p0,terrain_tile_set,imagegen+pixel,tile_set,static,,set,planned,manual_cleanup_required,"terrain,oracle,environment",dusty sun-baked earth tiles for open hillside spaces
67,sacred_paving_tiles,Sacred Paving Tiles,terrain,core_slice,p0,terrain_tile_set,imagegen+pixel,tile_set,static,,set,planned,manual_cleanup_required,"terrain,oracle,environment",finer ceremonial paving tiles with inset geometric patterns
68,marble_platform_tiles,Marble Platform Tiles,terrain,precinct_expansion,p1,terrain_tile_set,imagegen+pixel,tile_set,static,,set,planned,manual_cleanup_required,"terrain,oracle,environment",prestige marble platform tile set for temples and sanctum terraces
69,cliff_edge_set,Cliff Edge Set,terrain,core_slice,p0,terrain_tile_set,imagegen+pixel,tile_set,static,,"north,south,inner_corner,outer_corner",planned,manual_cleanup_required,"terrain,oracle,environment","dry stepped limestone cliff-edge modules and corners only for the rising hillside precinct, with no props or decorative structures"
70,stone_stair_set,Stone Stair Set,terrain,core_slice,p0,terrain_tile_set,imagegen+pixel,tile_set,static,,set,planned,manual_cleanup_required,"terrain,oracle,environment","plain limestone stair modules only for climbing sacred terraces, with no props or altars"
71,retaining_wall_set,Retaining Wall Set,terrain,core_slice,p1,terrain_tile_set,imagegen+pixel,tile_set,static,,set,planned,manual_cleanup_required,"terrain,oracle,environment",dry-stone and marble retaining wall pieces for terracing
72,spring_pool_tiles,Spring Pool Tiles,terrain,core_slice,p1,terrain_tile_set,imagegen+pixel,tile_set,static,,set,planned,manual_cleanup_required,"terrain,oracle,environment",water-edge tiles and stone-lipped sacred pool pieces
73,excavation_rubble_tiles,Excavation Rubble Tiles,terrain,late_game,p2,terrain_tile_set,imagegen+pixel,tile_set,static,,set,planned,manual_cleanup_required,"terrain,oracle,environment","broken masonry, dirt, and shard-strewn tiles for digs and ruins"
74,quarry_cut_tiles,Quarry Cut Tiles,terrain,terrain_and_props,p2,terrain_tile_set,imagegen+pixel,tile_set,static,,set,planned,manual_cleanup_required,"terrain,oracle,environment",rough-hewn marble cut tiles and quarry debris ground set
75,sacred_shadow_decals,Sacred Shadow Decals,terrain,terrain_and_props,p2,decal_pack,pixel,tile_set,static,,set,planned,manual_cleanup_required,"terrain,oracle,environment","soft ground shadows and wear decals for processions, columns, and clutter"
76,olive_tree_mature,Mature Olive Tree,flora,core_slice,p1,prop_iso_small,meshy+pixel,2x2,ambient_sway_reference,,"base,seasonal",planned,manual_cleanup_required,"flora,oracle,environment",gnarled mature olive tree with silvery leaves and twisted trunk
77,olive_tree_young,Young Olive Tree,flora,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,ambient_sway_reference,,"base,seasonal",planned,manual_cleanup_required,"flora,oracle,environment",slimmer cultivated olive tree for groves and precinct edges
78,cypress_tree,Cypress Tree,flora,terrain_and_props,p1,prop_iso_small,meshy+pixel,1x2,ambient_sway_reference,,"base,seasonal",planned,manual_cleanup_required,"flora,oracle,environment",tall dark cypress tree used as a sacred vertical accent
79,laurel_shrub,Laurel Shrub,flora,terrain_and_props,p2,prop_iso_small,meshy+pixel,1x1,ambient_sway_reference,,"base,seasonal",planned,manual_cleanup_required,"flora,oracle,environment",dense laurel shrub for ritual groves and sanctified corners
80,dry_grass_cluster,Dry Grass Cluster,flora,terrain_and_props,p2,prop_iso_small,imagegen+pixel,1x1,ambient_sway_reference,,"base,seasonal",planned,manual_cleanup_required,"flora,oracle,environment",tufts of hardy golden grass for rocky edges and sparse terraces
81,rocky_outcrop,Rocky Outcrop,flora,terrain_and_props,p1,prop_iso_small,meshy+pixel,2x1,ambient_sway_reference,,"base,seasonal",planned,manual_cleanup_required,"flora,oracle,environment",sun-baked limestone rocks with crisp silhouette for map edges
82,goat,Goat,fauna,precinct_expansion,p1,creature_reference,imagegen+meshy+pixel,creature,key_pose_reference,,"adult,young",planned,manual_cleanup_required,"fauna,oracle,omen",nimble sacred-site goat with short horns and dusty white-brown coat
83,sheep,Sheep,fauna,precinct_expansion,p1,creature_reference,imagegen+meshy+pixel,creature,key_pose_reference,,"adult,young",planned,manual_cleanup_required,"fauna,oracle,omen",woolly sacrificial sheep suited for pens and ritual procession
84,ox,Ox,fauna,precinct_expansion,p2,creature_reference,imagegen+meshy+pixel,creature,key_pose_reference,,"adult,young",planned,manual_cleanup_required,"fauna,oracle,omen",broad slow-moving ox used for prestige sacrifices and heavy hauling
85,white_dove,White Dove,fauna,characters_and_fauna,p2,creature_reference,imagegen+pixel,creature,key_pose_reference,,"adult,young",planned,manual_cleanup_required,"fauna,oracle,omen",small ceremonial dove used in sacred iconography and ambient life
86,raven,Raven,fauna,characters_and_fauna,p2,creature_reference,imagegen+pixel,creature,key_pose_reference,,"adult,young",planned,manual_cleanup_required,"fauna,oracle,omen",dark omen bird with glossy feathers and sharp profile
87,eagle,Eagle,fauna,characters_and_fauna,p2,creature_reference,imagegen+pixel,creature,key_pose_reference,,"adult,young",planned,manual_cleanup_required,"fauna,oracle,omen",regal eagle used for high-prestige omens and consultation illustration
88,serpent,Serpent,fauna,characters_and_fauna,p2,creature_reference,imagegen+pixel,creature,key_pose_reference,,"adult,young",planned,manual_cleanup_required,"fauna,oracle,omen","coiling serpent motif creature for dreams, rituals, and omen scenes"
89,owl,Owl,fauna,characters_and_fauna,p2,creature_reference,imagegen+pixel,creature,key_pose_reference,,"adult,young",planned,manual_cleanup_required,"fauna,oracle,omen",watchful owl tied to scholarly and night omen imagery
90,pythia_main,Pythia — Ceremonial Base,character,core_slice,p0,pythia_sheet,imagegen+meshy+pixel,walker,ritual_pose+idle,,"calm,trance,spent",planned,manual_cleanup_required,"character,oracle,walker","Delphic chief prophetess in layered Hellenic ritual robes, laurel crown, sacred jewelry, and solemn ceremonial bearing"
91,pythia_elder,Pythia — Elder Variant,character,late_game,p2,pythia_sheet,imagegen+meshy+pixel,walker,ritual_pose+idle,,"calm,trance,ailing",planned,manual_cleanup_required,"character,oracle,walker","aged legendary prophetess with regal bearing, fragile body, and immense authority"
92,priest_attendant,Priest Attendant,character,core_slice,p0,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",white-robed temple attendant carrying ritual cloths and water vessels
93,augur,Augur,character,core_slice,p1,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker","bird-reading priest with staff, satchel, and watchful upward posture"
94,spring_warden,Spring Warden,character,core_slice,p0,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker","water-keeper priest with simple robes, basin tools, and measured calm demeanor"
95,flame_keeper,Flame Keeper,character,core_slice,p0,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",guardian of the sacred flame carrying oil and ember tools
96,sacrificial_priest,Sacrificial Priest,character,precinct_expansion,p1,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",blood-rite officiant in layered apron robes with ritual knife and bowl
97,dream_priest,Dream Priest,character,characters_and_fauna,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",mystic priest with sleep chamber accessories and incense bundles
98,astronomer,Astronomer,character,characters_and_fauna,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",sky-watching scholar in dark indigo robes with charts and bronze sighting tools
99,scholar,Scholar,character,precinct_expansion,p1,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",literate scholar in Athena-aligned robes carrying papyrus and wax tablets
100,diplomat_priest,Diplomat Priest,character,world_ui,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",smooth ceremonial official balancing piety with worldly grace
101,spy_handler,Shadow Handler,character,world_ui,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",quiet intelligence operative in discreet dark robes with hidden documents
102,custodian,Custodian,character,core_slice,p1,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker","maintenance worker with rope, mallet, and patched practical tunic"
103,carrier,Resource Carrier,character,core_slice,p1,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker","precinct hauler carrying baskets, amphorae, and practical travel wear"
104,builder_worker,Builder Worker,character,terrain_and_props,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker","stonemason laborer with chisels, dusted tunic, and strong silhouette"
105,ordinary_pilgrim,Ordinary Pilgrim,character,core_slice,p0,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",humble pilgrim in travel-worn garments bearing small offerings
106,wealthy_pilgrim,Wealthy Pilgrim,character,precinct_expansion,p1,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker","better-dressed pilgrim with jewelry, fine fabric, and premium offerings"
107,sick_pilgrim,Sick Pilgrim,character,characters_and_fauna,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",ailing pilgrim moving carefully with wrappings and anxious posture
108,festival_pilgrim,Festival Pilgrim,character,precinct_expansion,p2,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker",cheerful pilgrim in brighter cloth with ribbons and celebratory offerings
109,envoy_military,Military Envoy,character,core_slice,p1,walker_role_sheet,imagegen+meshy+pixel,walker,8dir_walk+idle,,"role_sheet,portrait",planned,manual_cleanup_required,"character,oracle,walker","formal envoy with cuirass elements, cloak, and retinue authority"
